work_id,author_id
https://openalex.org/W1987258130,https://openalex.org/A5020344688
https://openalex.org/W2114918609,https://openalex.org/A5078753422
https://openalex.org/W2151103935,https://openalex.org/A5055202003
https://openalex.org/W1791587663,https://openalex.org/A5103061328
https://openalex.org/W2108598243,https://openalex.org/A5101542158
https://openalex.org/W2108598243,https://openalex.org/A5086692495
https://openalex.org/W2108598243,https://openalex.org/A5059955534
https://openalex.org/W2108598243,https://openalex.org/A5009049500
https://openalex.org/W2108598243,https://openalex.org/A5100399972
https://openalex.org/W2108598243,https://openalex.org/A5100450462
https://openalex.org/W2103441770,https://openalex.org/A5100338825
https://openalex.org/W2103441770,https://openalex.org/A5082040351
https://openalex.org/W2131271579,https://openalex.org/A5027039912
https://openalex.org/W2131271579,https://openalex.org/A5068353394
https://openalex.org/W2131271579,https://openalex.org/A5011858960
https://openalex.org/W2112778345,https://openalex.org/A5074180547
https://openalex.org/W4235678817,https://openalex.org/A5047556013
https://openalex.org/W4235678817,https://openalex.org/A5020344688
https://openalex.org/W2086957099,https://openalex.org/A5015077264
https://openalex.org/W4385245566,https://openalex.org/A5103024730
https://openalex.org/W4385245566,https://openalex.org/A5021878400
https://openalex.org/W4385245566,https://openalex.org/A5005777963
https://openalex.org/W4385245566,https://openalex.org/A5022416424
https://openalex.org/W4385245566,https://openalex.org/A5023448834
https://openalex.org/W4385245566,https://openalex.org/A5079288315
https://openalex.org/W4385245566,https://openalex.org/A5031789995
https://openalex.org/W4385245566,https://openalex.org/A5045719436
https://openalex.org/W2135943618,https://openalex.org/A5027610285
https://openalex.org/W2087484885,https://openalex.org/A5035299523
https://openalex.org/W2087484885,https://openalex.org/A5041210487
https://openalex.org/W2087484885,https://openalex.org/A5056263250
https://openalex.org/W2087484885,https://openalex.org/A5000202082
https://openalex.org/W2329395632,https://openalex.org/A5084106347
https://openalex.org/W2329395632,https://openalex.org/A5044483808
https://openalex.org/W2329395632,https://openalex.org/A5108677812
https://openalex.org/W2912565176,https://openalex.org/A5109036851
https://openalex.org/W2112796928,https://openalex.org/A5001226970
https://openalex.org/W2112796928,https://openalex.org/A5019206666
https://openalex.org/W2112796928,https://openalex.org/A5086198262
https://openalex.org/W2112796928,https://openalex.org/A5026605560
https://openalex.org/W1968834637,https://openalex.org/A5110084601
https://openalex.org/W1968834637,https://openalex.org/A5032143520
https://openalex.org/W1968834637,https://openalex.org/A5018540195
https://openalex.org/W1968834637,https://openalex.org/A5050231739
https://openalex.org/W1968834637,https://openalex.org/A5109983911
https://openalex.org/W3001118548,https://openalex.org/A5101545030
https://openalex.org/W3001118548,https://openalex.org/A5101454711
https://openalex.org/W3001118548,https://openalex.org/A5101925685
https://openalex.org/W3001118548,https://openalex.org/A5005176337
https://openalex.org/W3001118548,https://openalex.org/A5052152159
https://openalex.org/W3001118548,https://openalex.org/A5031491320
https://openalex.org/W3001118548,https://openalex.org/A5100425676
https://openalex.org/W3001118548,https://openalex.org/A5082759663
https://openalex.org/W3001118548,https://openalex.org/A5062226704
https://openalex.org/W3001118548,https://openalex.org/A5101081875
https://openalex.org/W3001118548,https://openalex.org/A5101711490
https://openalex.org/W3001118548,https://openalex.org/A5100655339
https://openalex.org/W3001118548,https://openalex.org/A5024929222
https://openalex.org/W3001118548,https://openalex.org/A5100344847
https://openalex.org/W3001118548,https://openalex.org/A5103981505
https://openalex.org/W3001118548,https://openalex.org/A5037416293
https://openalex.org/W3001118548,https://openalex.org/A5014572115
https://openalex.org/W3001118548,https://openalex.org/A5057824494
https://openalex.org/W3001118548,https://openalex.org/A5045493285
https://openalex.org/W3001118548,https://openalex.org/A5100606060
https://openalex.org/W3001118548,https://openalex.org/A5101633148
https://openalex.org/W3001118548,https://openalex.org/A5070771101
https://openalex.org/W3001118548,https://openalex.org/A5058709579
https://openalex.org/W3001118548,https://openalex.org/A5013568062
https://openalex.org/W3001118548,https://openalex.org/A5112776266
https://openalex.org/W3001118548,https://openalex.org/A5026007726
https://openalex.org/W3001118548,https://openalex.org/A5100637146
https://openalex.org/W3001118548,https://openalex.org/A5100424784
https://openalex.org/W3001118548,https://openalex.org/A5100613209
https://openalex.org/W2030976617,https://openalex.org/A5084778951
https://openalex.org/W2030976617,https://openalex.org/A5015070406
https://openalex.org/W2018289835,https://openalex.org/A5081897732
https://openalex.org/W2018289835,https://openalex.org/A5084346756
https://openalex.org/W2018289835,https://openalex.org/A5020229477
https://openalex.org/W2152311269,https://openalex.org/A5089452951
https://openalex.org/W2152311269,https://openalex.org/A5032047957
https://openalex.org/W2157823046,https://openalex.org/A5077161809
https://openalex.org/W2157823046,https://openalex.org/A5013184354
https://openalex.org/W2157823046,https://openalex.org/A5103098101
https://openalex.org/W2157823046,https://openalex.org/A5025898289
https://openalex.org/W2120062331,https://openalex.org/A5018694596
https://openalex.org/W1562208008,https://openalex.org/A5110910530
https://openalex.org/W1562208008,https://openalex.org/A5019637527
